2026-08-28 00:00:01 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@15ddb571, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2534e203, org.springframework.security.web.context.SecurityContextHolderFilter@26952841, org.springframework.security.web.header.HeaderWriterFilter@3f40998d, org.springframework.web.filter.CorsFilter@75ed5c27, org.springframework.security.web.authentication.logout.LogoutFilter@6dfba445, com.myfinance.security.JwtAuthFilter@6fcc4b51, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5a9845fe, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@612f23d1, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@716f63cc, org.springframework.security.web.session.SessionManagementFilter@2b037eb, org.springframework.security.web.access.ExceptionTranslationFilter@4d7630f5, org.springframework.security.web.access.intercept.AuthorizationFilter@6dfd3f61]
2026-08-28 00:02:15 [main] WARN  c.m.p.ProvisioningTokenFilter - Rejected provisioning request with missing/invalid token from 127.0.0.1
2026-08-28 00:02:16 [main] INFO  c.m.provisioning.ProvisioningService - Provisioned new finance user id=2 username=saas-customer for email(hash)=e90f7a48
2026-08-28 00:02:16 [main] INFO  c.m.config.RequestLoggingConfig - [HTTP] POST /api/internal/provisioning/users → 201 (240ms)
2026-08-28 00:02:16 [main] INFO  c.m.provisioning.ProvisioningService - Provisioning idempotent hit: existing user id=2 for email(hash)=e90f7a48
2026-08-28 00:02:16 [main] INFO  c.m.config.RequestLoggingConfig - [HTTP] POST /api/internal/provisioning/users → 200 (7ms)
2026-08-28 00:02:16 [main] WARN  c.m.config.RequestLoggingConfig - [HTTP] GET /api/internal/provisioning/users → 404 (14ms)
2026-08-28 00:02:16 [main] WARN  c.m.config.GlobalExceptionHandler - Validation failed: 1 field error(s)
2026-08-28 00:02:16 [main] WARN  c.m.config.RequestLoggingConfig - [HTTP] POST /api/internal/provisioning/users → 400 (19ms)
2026-08-28 00:02:16 [main] INFO  c.m.provisioning.ProvisioningService - Provisioned new finance user id=3 username=saas-customer for email(hash)=e90f7a48
2026-08-28 00:02:16 [main] INFO  c.m.config.RequestLoggingConfig - [HTTP] POST /api/internal/provisioning/users → 201 (76ms)
2026-08-28 00:02:16 [main] INFO  c.m.provisioning.ProvisioningService - Updated access for user id=3 active=false for email(hash)=e90f7a48
2026-08-28 00:02:16 [main] INFO  c.m.config.RequestLoggingConfig - [HTTP] POST /api/internal/provisioning/status → 200 (19ms)
2026-08-28 00:02:16 [main] INFO  c.m.provisioning.ProvisioningService - Provisioned new finance user id=4 username=saas-customer for email(hash)=e90f7a48
2026-08-28 00:02:16 [main] INFO  c.m.config.RequestLoggingConfig - [HTTP] POST /api/internal/provisioning/users → 201 (71ms)
2026-08-28 00:02:16 [main] WARN  c.m.p.ProvisioningTokenFilter - Rejected provisioning request with missing/invalid token from 127.0.0.1
2026-08-28 00:02:16 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-08-28 00:02:16 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-08-28 00:02:16 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-08-28 00:02:16 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.myfinance.controller.UserManagementControllerTest]: UserManagementControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2026-08-28 00:02:16 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.myfinance.MyFinanceApplication for test class com.myfinance.controller.UserManagementControllerTest
2026-08-28 00:02:16 [main] INFO  c.m.c.UserManagementControllerTest - Starting UserManagementControllerTest using Java 17.0.20 with PID 13813 (started by mugu in /Users/mugu/Documents/Projects/myfinance/backend)
2026-08-28 00:02:16 [main] DEBUG c.m.c.UserManagementControllerTest - Running with Spring Boot v3.2.5, Spring v6.1.6
2026-08-28 00:02:16 [main] INFO  c.m.c.UserManagementControllerTest - No active profile set, falling back to 1 default profile: "default"
2026-08-28 00:02:16 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-08-28 00:02:16 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 35 ms. Found 35 JPA repository interfaces.
2026-08-28 00:02:17 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-08-28 00:02:17 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-08-28 00:02:17 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-08-28 00:02:17 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Starting...
2026-08-28 00:02:17 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-2 - Added connection conn10: url=jdbc:h2:mem:testdb user=SA
2026-08-28 00:02:17 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Start completed.
2026-08-28 00:02:17 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: H2Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-08-28 00:02:17 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-08-28 00:02:17 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-08-28 00:02:19 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5327a2d1, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@45623380, org.springframework.security.web.context.SecurityContextHolderFilter@56b38b65, org.springframework.security.web.header.HeaderWriterFilter@39c36e19, org.springframework.web.filter.CorsFilter@798bfea2, org.springframework.security.web.authentication.logout.LogoutFilter@375420fd, com.myfinance.provisioning.ProvisioningTokenFilter@1172cdbc, com.myfinance.security.JwtAuthFilter@67efb873, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@79bfa7de, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5b2ead56, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@390d60eb, org.springframework.security.web.session.SessionManagementFilter@759a6c8a, org.springframework.security.web.access.ExceptionTranslationFilter@6988d578, org.springframework.security.web.access.intercept.AuthorizationFilter@1d3bafaf]
2026-08-28 00:02:19 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb'
2026-08-28 00:02:19 [main] DEBUG c.m.p.ProvisioningTokenFilter - Filter 'provisioningTokenFilter' configured for use
2026-08-28 00:02:19 [main] DEBUG c.myfinance.security.JwtAuthFilter - Filter 'jwtAuthFilter' configured for use
2026-08-28 00:02:19 [main] DEBUG c.m.config.RequestLoggingConfig$1 - Filter 'requestLoggingFilter' configured for use
2026-08-28 00:02:19 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2026-08-28 00:02:19 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2026-08-28 00:02:19 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
2026-08-28 00:02:19 [main] INFO  c.m.c.UserManagementControllerTest - Started UserManagementControllerTest in 3.353 seconds (process running for 23.187)
2026-08-28 00:02:20 [main] INFO  c.m.config.AdminUserInitializer - Admin user created (admin / admin123) — change password immediately!
2026-08-28 00:02:20 [main] INFO  c.m.c.UserManagementController - Creating user: username=newuser, role=USER
2026-08-28 00:02:20 [main] INFO  c.m.c.UserManagementController - Created user id=3, username=newuser
2026-08-28 00:02:20 [main] INFO  c.m.config.RequestLoggingConfig - [HTTP] POST /api/admin/users → 201 (86ms)
2026-08-28 00:02:20 [main] INFO  c.m.config.RequestLoggingConfig - [HTTP] GET /api/admin/users → 200 (7ms)
2026-08-28 00:02:20 [main] WARN  c.m.c.UserManagementController - Non-admin user attempted to create user
2026-08-28 00:02:20 [main] WARN  c.m.config.RequestLoggingConfig - [HTTP] POST /api/admin/users → 403 (7ms)
2026-08-28 00:02:20 [main] WARN  c.m.c.UserManagementController - User creation failed: username=user already taken
2026-08-28 00:02:20 [main] WARN  c.m.config.RequestLoggingConfig - [HTTP] POST /api/admin/users → 400 (8ms)
2026-08-28 00:02:20 [main] INFO  c.m.c.UserManagementController - Updating role for user id=2 to ADMIN
2026-08-28 00:02:20 [main] INFO  c.m.config.RequestLoggingConfig - [HTTP] PUT /api/admin/users/2/role → 200 (16ms)
2026-08-28 00:02:20 [main] INFO  c.m.c.UserManagementController - Updating role for user id=2 to USER
2026-08-28 00:02:20 [main] INFO  c.m.config.RequestLoggingConfig - [HTTP] PUT /api/admin/users/2/role → 200 (10ms)
2026-08-28 00:02:20 [main] WARN  c.m.c.UserManagementController - Non-admin user attempted to toggle user active status
2026-08-28 00:02:20 [main] WARN  c.m.config.RequestLoggingConfig - [HTTP] PUT /api/admin/users/2/toggle-active → 403 (8ms)
2026-08-28 00:02:20 [main] WARN  c.m.c.UserManagementController - Non-admin user attempted to list users
2026-08-28 00:02:20 [main] WARN  c.m.config.RequestLoggingConfig - [HTTP] GET /api/admin/users → 403 (2ms)
2026-08-28 00:02:20 [main] INFO  c.m.c.UserManagementController - Toggled user id=2 active=false
2026-08-28 00:02:20 [main] INFO  c.m.config.RequestLoggingConfig - [HTTP] PUT /api/admin/users/2/toggle-active → 200 (8ms)
2026-08-28 00:02:20 [main] INFO  c.m.c.UserManagementController - Toggled user id=2 active=true
2026-08-28 00:02:20 [main] INFO  c.m.config.RequestLoggingConfig - [HTTP] PUT /api/admin/users/2/toggle-active → 200 (9ms)
2026-08-28 00:02:20 [main] WARN  c.m.c.UserManagementController - Non-admin user attempted to update user role
2026-08-28 00:02:20 [main] WARN  c.m.config.RequestLoggingConfig - [HTTP] PUT /api/admin/users/2/role → 403 (6ms)
2026-08-28 00:02:20 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-08-28 00:02:20 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown initiated...
2026-08-28 00:02:20 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown completed.
2026-08-28 00:02:20 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.myfinance.controller.AuthControllerTest]: AuthControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2026-08-28 00:02:20 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.myfinance.MyFinanceApplication for test class com.myfinance.controller.AuthControllerTest
2026-08-28 00:02:20 [main] INFO  c.m.controller.AuthControllerTest - Starting AuthControllerTest using Java 17.0.20 with PID 13813 (started by mugu in /Users/mugu/Documents/Projects/myfinance/backend)
2026-08-28 00:02:20 [main] DEBUG c.m.controller.AuthControllerTest - Running with Spring Boot v3.2.5, Spring v6.1.6
2026-08-28 00:02:20 [main] INFO  c.m.controller.AuthControllerTest - No active profile set, falling back to 1 default profile: "default"
2026-08-28 00:02:20 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-08-28 00:02:20 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 33 ms. Found 35 JPA repository interfaces.
2026-08-28 00:02:20 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-08-28 00:02:20 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-08-28 00:02:20 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-08-28 00:02:20 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Starting...
2026-08-28 00:02:20 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-3 - Added connection conn20: url=jdbc:h2:mem:testdb user=SA
2026-08-28 00:02:20 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Start completed.
2026-08-28 00:02:20 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: H2Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-08-28 00:02:21 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-08-28 00:02:21 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-08-28 00:02:23 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@48510db6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3f261c85, org.springframework.security.web.context.SecurityContextHolderFilter@741ff448, org.springframework.security.web.header.HeaderWriterFilter@582fce45, org.springframework.web.filter.CorsFilter@3d4d7740, org.springframework.security.web.authentication.logout.LogoutFilter@7f811021, com.myfinance.provisioning.ProvisioningTokenFilter@147522c8, com.myfinance.security.JwtAuthFilter@5e4d6760, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4c061772, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6afda551, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3fa64686, org.springframework.security.web.session.SessionManagementFilter@52899bae, org.springframework.security.web.access.ExceptionTranslationFilter@2b026475, org.springframework.security.web.access.intercept.AuthorizationFilter@490df30]
2026-08-28 00:02:23 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb'
2026-08-28 00:02:23 [main] DEBUG c.m.p.ProvisioningTokenFilter - Filter 'provisioningTokenFilter' configured for use
2026-08-28 00:02:23 [main] DEBUG c.myfinance.security.JwtAuthFilter - Filter 'jwtAuthFilter' configured for use
2026-08-28 00:02:23 [main] DEBUG c.m.config.RequestLoggingConfig$1 - Filter 'requestLoggingFilter' configured for use
2026-08-28 00:02:23 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2026-08-28 00:02:23 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2026-08-28 00:02:23 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 0 ms
2026-08-28 00:02:23 [main] INFO  c.m.controller.AuthControllerTest - Started AuthControllerTest in 3.176 seconds (process running for 26.825)
2026-08-28 00:02:23 [main] INFO  c.m.config.AdminUserInitializer - Admin user created (admin / admin123) — change password immediately!
2026-08-28 00:02:23 [main] INFO  c.m.config.RequestLoggingConfig - [HTTP] GET /api/auth/me → 200 (3ms)
2026-08-28 00:02:23 [main] INFO  c.m.controller.AuthController - Login attempt for user=user
2026-08-28 00:02:23 [main] INFO  c.m.controller.AuthController - Login successful for user=user
2026-08-28 00:02:23 [main] INFO  c.m.config.RequestLoggingConfig - [HTTP] POST /api/auth/login → 200 (208ms)
2026-08-28 00:02:23 [main] INFO  c.m.controller.AuthController - Password change requested for user=user
2026-08-28 00:02:24 [main] INFO  c.m.config.RequestLoggingConfig - [HTTP] POST /api/auth/change-password → 200 (139ms)
2026-08-28 00:02:24 [main] INFO  c.m.controller.AuthController - Password change requested for user=user
2026-08-28 00:02:24 [main] INFO  c.m.config.RequestLoggingConfig - [HTTP] POST /api/auth/change-password → 200 (127ms)
2026-08-28 00:02:24 [main] INFO  c.m.controller.AuthController - Login attempt for user=user
2026-08-28 00:02:24 [main] WARN  c.m.controller.AuthController - Login failed for user=user
2026-08-28 00:02:24 [main] WARN  c.m.config.RequestLoggingConfig - [HTTP] POST /api/auth/login → 401 (67ms)
2026-08-28 00:02:24 [main] WARN  c.m.config.RequestLoggingConfig - [HTTP] POST /api/auth/register → 403 (5ms)
2026-08-28 00:02:24 [main] INFO  c.m.controller.AuthController - Password change requested for user=user
2026-08-28 00:02:24 [main] WARN  c.m.controller.AuthController - Password change failed for user=user: incorrect current password
2026-08-28 00:02:24 [main] WARN  c.m.config.RequestLoggingConfig - [HTTP] POST /api/auth/change-password → 400 (68ms)
2026-08-28 00:02:24 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-08-28 00:02:24 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Shutdown initiated...
2026-08-28 00:02:24 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Shutdown completed.
2026-08-28 00:02:47 [main] INFO  c.m.p.ProvisioningControllerTest - Starting ProvisioningControllerTest using Java 17.0.20 with PID 14199 (started by mugu in /Users/mugu/Documents/Projects/myfinance/backend)
2026-08-28 00:02:47 [main] DEBUG c.m.p.ProvisioningControllerTest - Running with Spring Boot v3.2.5, Spring v6.1.6
2026-08-28 00:02:47 [main] INFO  c.m.p.ProvisioningControllerTest - No active profile set, falling back to 1 default profile: "default"
2026-08-28 00:02:48 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-08-28 00:02:49 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 174 ms. Found 35 JPA repository interfaces.
2026-08-28 00:02:50 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-08-28 00:02:50 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2026-08-28 00:02:50 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-08-28 00:02:50 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-08-28 00:02:50 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-08-28 00:02:51 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:testdb user=SA
2026-08-28 00:02:51 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-08-28 00:02:51 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: H2Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-08-28 00:02:53 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-08-28 00:02:53 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-08-28 00:02:54 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-08-28 00:02:58 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4acdde0, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@59c5d2fb, org.springframework.security.web.context.SecurityContextHolderFilter@130705ba, org.springframework.security.web.header.HeaderWriterFilter@1cad7fc4, org.springframework.web.filter.CorsFilter@381cfa70, org.springframework.security.web.authentication.logout.LogoutFilter@166039c2, com.myfinance.provisioning.ProvisioningTokenFilter@10b46ad2, com.myfinance.security.JwtAuthFilter@a0c2a60, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1e592570, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1dc53ff4, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@330299da, org.springframework.security.web.session.SessionManagementFilter@b5e70f0, org.springframework.security.web.access.ExceptionTranslationFilter@7e8f1afa, org.springframework.security.web.access.intercept.AuthorizationFilter@6be14b38]
2026-08-28 00:02:58 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb'
2026-08-28 00:02:59 [main] DEBUG c.m.p.ProvisioningTokenFilter - Filter 'provisioningTokenFilter' configured for use
2026-08-28 00:02:59 [main] DEBUG c.myfinance.security.JwtAuthFilter - Filter 'jwtAuthFilter' configured for use
2026-08-28 00:02:59 [main] DEBUG c.m.config.RequestLoggingConfig$1 - Filter 'requestLoggingFilter' configured for use
2026-08-28 00:02:59 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2026-08-28 00:02:59 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
